SAMPLE_ID	CMYK_C	CMYK_M	CMYK_Y	CMYK_K	XYZ_X	XYZ_Y	XYZ_Z	LAB_L	LAB_A	LAB_B	SPECTRAL_380	SPECTRAL_390	SPECTRAL_400	SPECTRAL_410	SPECTRAL_420	SPECTRAL_430	SPECTRAL_440	SPECTRAL_450	SPECTRAL_460	SPECTRAL_470	SPECTRAL_480	SPECTRAL_490	SPECTRAL_500	SPECTRAL_510	SPECTRAL_520	SPECTRAL_530	SPECTRAL_540	SPECTRAL_550	SPECTRAL_560	SPECTRAL_570	SPECTRAL_580	SPECTRAL_590	SPECTRAL_600	SPECTRAL_610	SPECTRAL_620	SPECTRAL_630	SPECTRAL_640	SPECTRAL_650	SPECTRAL_660	SPECTRAL_670	SPECTRAL_680	SPECTRAL_690	SPECTRAL_700	SPECTRAL_710	SPECTRAL_720	SPECTRAL_730	SPECTRAL_740	SPECTRAL_750	SPECTRAL_760	SPECTRAL_770	SPECTRAL_780	
END_DATA_FORMAT

NUMBER_OF_SETS      70
LGOROWLENGTH        14

BEGIN_DATA
18	100.0000	10.6000	40.0000	0.0000	12.670	18.924	25.034	50.598	-32.861	-19.562	0.197000	0.074000	0.106000	0.143000	0.168000	0.205000	0.212000	0.203000	0.298000	0.452000	0.505000	0.474000	0.424000	0.365000	0.321000	0.269000	0.215000	0.187000	0.154000	0.126000	0.113000	0.095000	0.085000	0.075000	0.072000	0.072000	0.072000	0.070000	0.069000	0.075000	0.093000	0.134000	0.219000	0.293000	0.402000	0.477000	0.553000	0.557000	0.557000	0.557000	0.557000	
19	4.0000	89.0000	71.0000	9.4000	24.869	15.148	6.679	45.836	51.738	20.099	0.002000	0.033000	0.085000	0.103000	0.108000	0.104000	0.087000	0.073000	0.079000	0.085000	0.073000	0.063000	0.057000	0.049000	0.045000	0.046000	0.053000	0.053000	0.053000	0.081000	0.131000	0.260000	0.337000	0.404000	0.435000	0.460000	0.495000	0.539000	0.583000	0.633000	0.692000	0.755000	0.816000	0.846000	0.876000	0.901000	0.929000	0.931000	0.931000	0.931000	0.931000	
20	100.0000	12.0000	21.0000	44.0000	6.829	9.570	16.420	37.059	-21.837	-25.281	0.206000	0.082000	0.086000	0.112000	0.129000	0.155000	0.159000	0.152000	0.206000	0.281000	0.291000	0.262000	0.227000	0.190000	0.163000	0.134000	0.106000	0.091000	0.074000	0.060000	0.053000	0.045000	0.040000	0.035000	0.034000	0.034000	0.035000	0.034000	0.034000	0.036000	0.044000	0.066000	0.115000	0.165000	0.254000	0.324000	0.394000	0.399000	0.399000	0.399000	0.399000	
21	59.0000	0.0000	22.0000	0.0000	30.429	38.290	47.077	68.234	-22.662	-20.643	0.093000	0.093000	0.137000	0.218000	0.316000	0.463000	0.527000	0.518000	0.605000	0.714000	0.719000	0.672000	0.627000	0.577000	0.537000	0.490000	0.435000	0.399000	0.356000	0.315000	0.294000	0.264000	0.244000	0.223000	0.216000	0.217000	0.219000	0.216000	0.214000	0.226000	0.268000	0.347000	0.474000	0.559000	0.654000	0.709000	0.761000	0.764000	0.764000	0.764000	0.764000	
22	79.0000	29.0000	9.0000	0.0000	17.782	21.545	40.513	53.541	-15.140	-37.878	0.233000	0.109000	0.129000	0.201000	0.291000	0.438000	0.509000	0.502000	0.541000	0.571000	0.535000	0.476000	0.423000	0.367000	0.327000	0.286000	0.242000	0.214000	0.182000	0.156000	0.143000	0.125000	0.113000	0.100000	0.096000	0.096000	0.096000	0.095000	0.093000	0.100000	0.124000	0.175000	0.274000	0.356000	0.466000	0.540000	0.612000	0.616000	0.616000	0.616000	0.616000	
23	66.0000	55.0000	57.0000	23.0000	10.708	10.822	9.659	39.279	2.064	-2.525	0.040000	0.065000	0.089000	0.107000	0.114000	0.117000	0.106000	0.095000	0.116000	0.142000	0.141000	0.131000	0.124000	0.114000	0.106000	0.105000	0.106000	0.102000	0.095000	0.100000	0.107000	0.111000	0.110000	0.106000	0.108000	0.112000	0.121000	0.129000	0.137000	0.153000	0.193000	0.265000	0.387000	0.476000	0.588000	0.656000	0.728000	0.733000	0.733000	0.733000	0.733000	
24	100.0000	82.7000	0.8000	6.3000	7.005	6.692	19.199	31.094	5.639	-41.811	0.084000	0.077000	0.099000	0.144000	0.193000	0.272000	0.298000	0.274000	0.248000	0.216000	0.176000	0.146000	0.125000	0.103000	0.089000	0.080000	0.072000	0.064000	0.054000	0.049000	0.047000	0.043000	0.040000	0.035000	0.034000	0.034000	0.035000	0.034000	0.034000	0.036000	0.045000	0.066000	0.116000	0.166000	0.256000	0.326000	0.397000	0.401000	0.401000	0.401000	0.401000	
25	13.0000	100.0000	90.0000	4.0000	21.071	12.225	4.621	41.572	53.009	22.747	0.002000	0.028000	0.070000	0.081000	0.081000	0.074000	0.061000	0.050000	0.054000	0.056000	0.049000	0.042000	0.039000	0.035000	0.032000	0.032000	0.036000	0.036000	0.037000	0.056000	0.092000	0.199000	0.272000	0.346000	0.381000	0.410000	0.454000	0.512000	0.577000	0.646000	0.715000	0.781000	0.834000	0.859000	0.885000	0.905000	0.935000	0.938000	0.938000	0.938000	0.938000	
26	100.0000	88.0000	60.0000	40.0000	3.817	3.892	4.775	23.313	0.961	-9.577	0.086000	0.042000	0.059000	0.067000	0.070000	0.068000	0.059000	0.052000	0.057000	0.061000	0.058000	0.053000	0.049000	0.045000	0.042000	0.040000	0.040000	0.038000	0.035000	0.035000	0.036000	0.036000	0.035000	0.034000	0.034000	0.035000	0.036000	0.038000	0.040000	0.044000	0.058000	0.086000	0.150000	0.213000	0.316000	0.392000	0.469000	0.473000	0.473000	0.473000	0.473000	
27	75.0000	61.0000	60.0000	40.0000	6.581	6.686	6.309	31.081	1.397	-3.709	0.052000	0.050000	0.071000	0.081000	0.084000	0.081000	0.070000	0.063000	0.075000	0.089000	0.088000	0.082000	0.078000	0.072000	0.068000	0.066000	0.067000	0.064000	0.060000	0.061000	0.064000	0.066000	0.064000	0.063000	0.064000	0.068000	0.073000	0.079000	0.086000	0.099000	0.128000	0.185000	0.291000	0.377000	0.492000	0.567000	0.644000	0.649000	0.649000	0.649000	0.649000	
